党,トウ・なかま・むら,party; faction; clique
介,カイ,jammed in; shellfish; mediate; concern oneself with
根,コン・ね・~ね,root; radical; head (pimple)
販,ハン,marketing; sell; trade
歴,レキ・レッキ,curriculum; continuation; passage of time
将,ショウ・ソウ・まさ.に・はた・まさ・ひきい.る・もって,leader; commander; general; admiral; or; and again; soon; from now on; just about
幅,フク・はば,hanging scroll; width
般,ハン,carrier; carry; all; general; sort; kind
貿,ボウ,trade; exchange
講,コウ,lecture; club; association
林,リン・はやし,grove; forest
装,ソウ・ショウ・よそお.う・よそお.い,attire; dress; pretend; disguise; profess
諸,ショ・もろ,various; many; several; together
劇,ゲキ,drama; play
河,カ・かわ,river
航,コウ,navigate; sail; cruise; fly
鉄,テツ・くろがね,iron
児,ジ・ニ・ゲイ・こ・~こ・~っこ,newborn babe; child; young of animals
禁,キン,prohibition; ban; forbid
印,イン・しるし・~じるし・しる.す,stamp; seal; mark; imprint; symbol; emblem; trademark; evidence; souvenir; India
逆,ギャク・ゲキ・さか・さか.さ・さか.らう,inverted; reverse; opposite; wicked
換,カン・か.える・~か.える・か.わる,interchange; period; change; convert; replace; renew
久,キュウ・ク・ひさ.しい,long time; old story
短,タン・みじか.い,short; brevity; fault; defect; weak point
油,ユ・ユウ・あぶら,oil; fat
暴,ボウ・バク・あば.く・あば.れる,outburst; rave; fret; force; violence; cruelty; outrage
輪,リン・わ,wheel; ring; circle; link; loop; counter for wheels and flowers
占,セン・し.める・うらな.う,fortune-telling; divining; forecasting; occupy; hold; have; get; take
植,ショク・う.える・う.わる,plant
清,セイ・ショウ・シン・きよ.い・きよ.まる・きよ.める,pure; purify; cleanse; exorcise; Manchu dynasty
倍,バイ,double; twice; times; fold
均,キン・なら.す,level; average
億,オク,hundred million; 10**8
圧,アツ・エン・オウ・お.す・へ.す・おさ.える・お.さえる,pressure; push; overwhelm; oppress; dominate
芸,ゲイ・ウン・う.える・のり・わざ,technique; art; craft; performance; acting; trick; stunt
署,ショ,signature; govt office; police station
伸,シン・の.びる・の.ばす・の.べる・の.す,expand; stretch; extend; lengthen; increase
停,テイ・と.める・と.まる,halt; stopping
爆,バク・は.ぜる,bomb; burst open; pop; split
陸,リク・ロク・おか,land; six
玉,ギョク・たま・たま~・~だま,jewel; ball
波,ハ・なみ,waves; billows; Poland
帯,タイ・お.びる・おび,sash; belt; obi; zone; region
延,エン・の.びる・の.べる・の.べ・の.ばす,prolong; stretching
羽,ウ・は・わ・はね,"feathers; counter for birds, rabbits"
固,コ・かた.める・かた.まる・かた.まり・かた.い,harden; set; clot; curdle
則,ソク・のっと.る,rule; follow; based on; model after
乱,ラン・ロン・みだ.れる・みだ.る・みだ.す・みだ・おさ.める・わた.る,riot; war; disorder; disturb
普,フ・あまね.く・あまねし,universal; wide(ly); generally; Prussia
測,ソク・はか.る,fathom; plan; scheme; measure
豊,ホウ・ブ・ゆた.か・とよ,bountiful; excellent; rich
厚,コウ・あつ.い・あか,thick; heavy; rich; kind; cordial; brazen; shameless
齢,レイ・よわい・とし,age
囲,イ・かこ.む・かこ.う・かこ.い,surround; besiege; store; paling; enclosure; encircle; preserve; keep
卒,ソツ・シュツ・そっ.する・お.える・お.わる・ついに・にわか,graduate; soldier; private; die
略,リャク・ほぼ・はぶ.く・おか.す・おさ.める・はかりごと・はか.る,abbreviation; omission; outline; shorten; capture; plunder
承,ショウ・ジョウ・うけたまわ.る・う.ける,acquiesce; hear; listen to; be informed; receive
順,ジュン,obey; order; turn; right; docility; occasion
岩,ガン・いわ,boulder; rock; cliff
練,レン・ね.る・ね.り,practice; gloss; train; drill; polish; refine
軽,ケイ・キョウ・キン・かる.い・かろ.やか・かろ.んじる,lightly; trifling; unimportant
了,リョウ,complete; finish
庁,チョウ・テイ・やくしょ,government office
城,ジョウ・セイ・しろ,castle
