告,コク・つ.げる,revelation; tell; inform; announce
参,サン・シン・まい.る・まい~・まじわる・みつ,nonplussed; three (in documents); going; coming; visiting; visit; be defeated; die; be madly in love; participate; take part in
利,リ・き.く,profit; advantage; benefit
信,シン,faith; truth; fidelity; trust
側,ソク・かわ・がわ・そば,side; lean; oppose; regret
求,キュウ・グ・もと.める,request; want; wish for; require; demand
昨,サク,yesterday; previous
官,カン,bureaucrat; the government; organ
変,ヘン・か.わる・か.わり・か.える,unusual; change; strange
果,カ・は.たす・はた.す・~は.たす・は.てる・~は.てる・は.て,fruit; reward; carry out; achieve; complete; end; finish; succeed
必,ヒツ・かなら.ず,invariably; certain; inevitable
争,ソウ・あらそ.う・いか.でか,contend; dispute; argue
位,イ・くらい・ぐらい,rank; grade; throne; crown; about; some
置,チ・お.く・~お.き,placement; put; set; deposit; leave behind; keep; employ; pawn
費,ヒ・つい.やす・つい.える,expense; cost; spend; consume; waste
付,フ・つ.ける・~つ.ける・~づ.ける・つ.け・つ.け~・~つ.け・~づ.け・~づけ・つ.く・~づ.く・つ.き・~つ.き・~つき・~づ.き・~づき,adhere; attach; refer to; append
説,セツ・ゼイ・と.く,opinion; theory; explanation; rumor
夫,フ・フウ・ブ・おっと・それ,husband; man
害,ガイ,harm; injury
席,セキ・むしろ,seat; mat; occasion; place
残,ザン・サン・のこ.る・のこ.す・そこな.う・のこ.り,remainder; leftover; balance
念,ネン,wish; sense; idea; thought; feeling; desire; attention
労,ロウ・ろう.する・いたわ.る・いた.ずき・ねぎら・つか.れる・ねぎら.う,labor; thank for; reward for; toil; trouble
例,レイ・たと.える,example; custom; usage; precedent
然,ゼン・ネン・しか・しか.り・しか.し・さ,sort of thing; so; if so; in that case; well
伝,デン・テン・つた.わる・つた.える・つた.う・つだ.う・~づた.い・つて,transmit; go along; walk along; follow; report; communicate; legend; tradition
働,ドウ・はたら.く,work; (kokuji)
景,ケイ,scenery; view
好,コウ・この.む・す.く・よ.い・い.い,fond; pleasing; like something
失,シツ・うしな.う・う.せる,lose; error; fault; disadvantage; loss
差,サ・さ.す・さ.し,distinction; difference; variation; discrepancy; margin; balance
末,マツ・バツ・すえ,end; close; tip; powder; posterity
種,シュ・たね・~ぐさ,species; kind; class; variety; seed
望,ボウ・モウ・のぞ.む・もち,ambition; full moon; hope; desire; aspire to; expect
観,カン・み.る・しめ.す,outlook; look; appearance; condition; view
察,サツ,guess; presume; surmise; judge; understand
達,タツ・ダ・~たち,accomplished; reach; arrive; attain
良,リョウ・よ.い・~よ.い・い.い・~い.い,good; pleasing; skilled
候,コウ・そうろう,climate; season; weather; wait for; expect
満,マン・バン・み.ちる・み.つ・み.たす,full; fullness; enough; satisfy
敗,ハイ・やぶ.れる,failure; defeat; reversal
積,セキ・つ.む・~づ.み・つ.もる・つ.もり,volume; product (x*y); acreage; contents; pile up; stack; load; amass
飛,ヒ・と.ぶ・と.ばす・~と.ばす,fly; skip (pages); scatter
殺,サツ・サイ・セツ・ころ.す・~ごろ.し・そ.ぐ,kill; murder; butcher; slice off; split; diminish; reduce; spoil
単,タン・ひとえ,simple; one; single; merely
完,カン,perfect; completion; end
給,キュウ・たま.う・たも.う・~たま.え,salary; wage; gift; allow; grant; bestow on
辞,ジ・や.める・いな.む,resign; word; term; expression
愛,アイ・いと.しい・かな.しい・め.でる・お.しむ・まな,love; affection; favourite
未,ミ・ビ・いま.だ・ま.だ・ひつじ,un-; not yet; hitherto; still; even now; sign of the ram; 1-3PM; eighth sign of Chinese zodiac
冷,レイ・つめ.たい・ひ.える・ひ.や・ひ.ややか・ひ.やす・ひ.やかす・さ.める・さ.ます,"cool; cold (beer, person); chill"
類,ルイ・たぐ.い,sort; kind; variety; class; genus
熱,ネツ・あつ.い,heat; temperature; fever; mania; passion
覚,カク・おぼ.える・さ.ます・さ.める・さと.る,memorize; learn; remember; awake; sober up
便,ベン・ビン・たよ.り,convenience; facility; excrement; feces; letter; chance
努,ド・つと.める,toil; diligent; as much as possible
散,サン・ち.る・ち.らす・~ち.らす・ち.らかす・ち.らかる・ち.らばる・ばら・ばら.ける,scatter; disperse; spend; squander
静,セイ・ジョウ・しず~・しず.か・しず.まる・しず.める,quiet
喜,キ・よろこ.ぶ・よろこ.ばす,rejoice; take pleasure in
老,ロウ・お.いる・ふ.ける,old man; old age; grow old
徒,ト・いたずら・あだ,on foot; junior; emptiness; vanity; futility; uselessness; ephemeral thing; gang; set; party; people
欠,ケツ・ケン・か.ける・か.く,lack; gap; fail; yawning radical (no. 76)
願,ガン・ねが.う・~ねがい,petition; request; vow; wish; hope
笑,ショウ・わら.う・え.む,laugh
束,ソク・たば・たば.ねる・つか・つか.ねる,bundle; sheaf; ream; tie in bundles; govern; manage; control
折,セツ・シャク・お.る・おり・お.り・~お.り・お.れる,fold; break; fracture; bend; yield; submit
政,セイ・ショウ・まつりごと・まん,politics; government
経,ケイ・キョウ・へ.る・た.つ・たていと・はか.る・のり,sutra; longitude; pass thru; expire; warp
現,ゲン・あらわ.れる・あらわ.す・うつつ・うつ.つ,present; existing; actual
性,セイ・ショウ・さが,sex; gender; nature
制,セイ,system; law; rule
務,ム・つと.める,task; duties
支,シ・ささ.える・つか.える・か.う,branch; support; sustain; branch radical (no. 65)
報,ホウ・むく.いる,report; news; reward; retribution
解,カイ・ゲ・と.く・と.かす・と.ける・ほど.く・ほど.ける・わか.る・さと.る,unravel; notes; key; explanation; understanding; untie; undo; solve; answer; cancel; absolve; explain; minute
資,シ,assets; resources; capital; funds; data; be conducive to; contribute to
際,サイ・きわ・~ぎわ,occasion; side; edge; verge; dangerous; adventurous; indecent; time; when
判,ハン・バン・わか.る,judgement; signature; stamp; seal
在,ザイ・あ.る,exist; outskirts; suburbs; located in
件,ケン・くだん,affair; case; matter; item
任,ニン・まか.せる・まか.す,responsibility; duty; term; entrust to; appoint
増,ゾウ・ま.す・ま.し・ふ.える・ふ.やす,increase; add; augment; gain; promote
情,ジョウ・セイ・なさ.け,feelings; emotion; passion; sympathy; circumstances; facts
示,ジ・シ・しめ.す,show; indicate; point out; express; display
確,カク・コウ・たし.か・たし.かめる,assurance; firm; tight; hard; solid; confirm; clear; evident
容,ヨウ・い.れる,contain; form; looks
演,エン,performance; act; play; render; stage
能,ノウ・よ.く,ability; talent; skill; capacity
格,カク・コウ・キャク・ゴウ,"status; rank; capacity; character; case (law, grammar)"
過,カ・す.ぎる・~す.ぎる・~す.ぎ・す.ごす・あやま.つ・あやま.ち・よ.ぎる,overdo; exceed; go beyond; error
常,ジョウ・つね・とこ~,usual; ordinary; normal; common; regular; continually; always; long-lasting
状,ジョウ,status quo; conditions; circumstances; form; appearance
職,ショク・ソク,post; employment; work
構,コウ・かま.える・かま.う,posture; build; pretend
断,ダン・た.つ・ことわ.る・さだ.める,severance; decline; refuse; apologize; warn; dismiss; prohibit; decision; judgement; cutting
規,キ,standard; measure
術,ジュツ・すべ,art; technique; skill; means; trick; resources; magic
備,ビ・そな.える・そな.わる・つぶさ.に,equip; provision; preparation
限,ゲン・かぎ.る・かぎ.り・~かぎ.り,limit; restrict; to best of ability
退,タイ・しりぞ.く・しりぞ.ける・ひ.く・の.く・の.ける・ど.く,retreat; withdraw; retire; resign; repel; expel; reject
非,ヒ・あら.ず,un-; mistake; negative; injustice; non-
財,ザイ・サイ・ゾク・たから,property; money; wealth; assets
識,シキ・し.る・しる.す,discriminating; know; write
程,テイ・ほど・~ほど,extent; degree; law; formula; distance; limits; amount
師,シ・いくさ,expert; teacher; master; model; exemplar; army (incl. counter); war
易,エキ・イ・やさ.しい・やす.い,easy; ready to; simple; fortune-telling; divination
破,ハ・やぶ.る・やぶ.れる・わ.れる,rend; rip; tear; break; destroy; defeat; frustrate
責,セキ・せ.める,blame; condemn; censure
因,イン・よ.る・ちな.む,cause; factor; be associated with; depend on; be limited to
富,フ・フウ・と.む・とみ,wealth; enrich; abundant
適,テキ・かな.う,suitable; occasional; rare; qualified; capable
婦,フ・よめ,lady; woman; wife; bride
寄,キ・よ.る・~よ.り・よ.せる,draw near; stop in; bring near; gather; collect; send; forward
余,ヨ・あま.る・あま.り・あま.す・あんま.り,too much; myself; surplus; other; remainder
妻,サイ・つま,wife; spouse
険,ケン・けわ.しい,precipitous; inaccessible place; impregnable position; steep place; sharp eyes
許,キョ・ゆる.す・もと,permit; approve
留,リュウ・ル・と.める・と.まる・とど.める・とど.まる・るうぶる,detain; fasten; halt; stop
罪,ザイ・つみ,guilt; sin; crime; fault; blame; offense
精,セイ・ショウ・しら.げる・くわ.しい,refined; ghost; fairy; energy; vitality; semen; excellence; purity; skill
絶,ゼツ・た.える・た.やす・た.つ,discontinue; sever; cut off; abstain; interrupt; suppress; be beyond; without match; peerless; unparalleled
居,キョ・コ・い.る・~い・お.る,reside; to be; exist; live with
雑,ザツ・ゾウ・まじ.える・まじ.る,miscellaneous
招,ショウ・まね.く,beckon; invite; summon; engage
賛,サン・たす.ける・たた.える,approve; praise; title or inscription on picture; assist; agree with
犯,ハン・ボン・おか.す,crime; sin; offense
似,ジ・に.る・ひ.る,becoming; resemble; counterfeit; imitate; suitable
迷,メイ・まよ.う,astray; be perplexed; in doubt; lost; err; illusion
