爾,ジ・ニ・なんじ・しかり・その・のみ・おれ・しか,you; thou; second person
剰,ジョウ・あまつさえ・あま.り・あま.る,surplus; besides
胆,タン・きも,gall bladder; courage; pluck; nerve
繊,セン,slender; fine; thin kimono
駒,ク・こま,pony; horse; colt
虚,キョ・コ・むな.しい・うつ.ろ,void; emptiness; unpreparedness; crack; fissure; untruth
霊,レイ・リョウ・たま,spirits; soul
悔,カイ・く.いる・く.やむ・くや.しい,repent; regret
諭,ユ・さと.す,rebuke; admonish; charge; warn; persuade
惨,サン・ザン・みじ.め・いた.む・むご.い,wretched; disaster; cruelty; harsh
虐,ギャク・しいた.げる,tyrannize; oppress
翻,ホン・ハン・ひるがえ.る・ひるがえ.す,flip; turn over; wave; flutter; change (mind)
墜,ツイ・お.ちる・お.つ,crash; fall (down)
沼,ショウ・ぬま,marsh; lake; bog; swamp; pond
据,キョ・す.える・す.わる,set; lay a foundation; install; equip; squat down; sit down
徐,ジョ・おもむ.ろに,gradually; slowly; deliberately; gently
搭,トウ,board; load (a vehicle); ride
盾,ジュン・たて,shield; escutcheon; pretext
滝,ロウ・ソウ・たき,waterfall; rapids; cascade
軌,キ,rut; wheel; track; model; way of doing
妨,ボウ・さまた.げる,disturb; prevent; hamper; obstruct
擦,サツ・す.る・す.れる・~ず.れ・こす.る・こす.れる,grate; rub; scratch; scrape; chafe; scour
鯨,ゲイ・くじら,whale
荘,ソウ・ショウ・チャン・ほうき・おごそ.か,villa; inn; cottage; feudal manor; solemn; dignified
諾,ダク,consent; assent; agreement
雷,ライ・かみなり・いかずち・いかづち,thunder; lightning bolt
漂,ヒョウ・ただよ.う,drift; float (on liquid)
懐,カイ・エ・ふところ・なつ.かしい・なつ.かしむ・なつ.く・なつ.ける・なず.ける・いだ.く・おも.う,pocket; feelings; heart; yearn; miss someone; become attached to; bosom; breast
勘,カン,intuition; perception; check; compare; sixth sense
栽,サイ,plantation; planting
拐,カイ,kidnap; falsify
駄,ダ・タ,burdensome; pack horse; horse load; send by horse; trivial; worthless
添,テン・そ.える・そ.う,annexed; accompany; marry; suit; meet; satisfy; attach; append; garnish; imitate
冠,カン・かんむり,crown; best; peerless
斜,シャ・なな.め・はす,diagonal; slanting; oblique
浪,ロウ,wandering; waves; billows; reckless; unrestrained
亜,ア・つ.ぐ,Asia; rank next; come after; -ous
詐,サ・いつわ.る,lie; falsehood; deceive; pretend
壇,ダン・タン,podium; stage; rostrum; terrace
勲,クン・いさお,meritorious deed; merit
魔,マ,witch; demon; evil spirit
酬,シュウ・シュ・トウ・むく.いる,repay; reward; retribution
紫,シ・むらさき,purple; violet
紋,モン,family crest; figures
卸,シャ・おろ.す・おろし・おろ.し,wholesale
欄,ラン・てすり,column; handrail; blank; space
逸,イツ・そ.れる・そ.らす・はぐ.れる,deviate; idleness; leisure; miss the mark; evade; elude; parry; diverge
涯,ガイ・はて,horizon; shore; limit; bound
拓,タク・ひら.く,clear (the land); open; break up (land)
獄,ゴク,prison; jail
尚,ショウ・なお,esteem; furthermore; still; yet
彫,チョウ・ほ.る・~ぼ.り,carve; engrave; chisel
穏,オン・おだ.やか,calm; quiet; moderation
顕,ケン・あきらか・あらわ.れる,appear; existing
巧,コウ・たく.み・たく.む・うま.い,adroit; skilled; ingenuity
矛,ム・ボウ・ほこ,halberd; arms; festival float
垣,エン・かき,hedge; fence; wall
欺,ギ・あざむ.く,deceit; cheat; delude
釣,チョウ・つ.る・つ.り・つ.り~,angling; fish; catch; allure; ensnare
粛,シュク・スク・つつし.む,solemn; quietly; softly
愚,グ・おろ.か,foolish; folly; absurdity; stupid
遭,ソウ・あ.う・あ.わせる,encounter; meet; party; association; interview; join
架,カ・か.ける・か.かる,erect; frame; mount; support; shelf; construct
鬼,キ・おに・おに~,ghost; devil
庶,ショ,commoner; all; bastard
稚,チ・ジ・いとけない・おさない・おくて・おでる,immature; young
滋,ジ・シ,nourishing; more & more; be luxuriant; planting; turbidity
幻,ゲン・まぼろし,phantasm; vision; dream; illusion; apparition
煮,シャ・に.る・~に・に.える・に.やす,boil; cook
姫,キ・ひめ・ひめ~,princess
誓,セイ・ちか.う,vow; swear; pledge
把,ハ・ワ,grasp; faggot; bunch; counter for bundles
践,セン・ふ.む,tread; step on; trample; practice; carry through
呈,テイ,display; offer; present; send; exhibit
疎,ソ・ショ・うと.い・うと.む・まば.ら,alienate; rough; neglect; shun; sparse; penetrate
仰,ギョウ・コウ・あお.ぐ・おお.せ・お.っしゃる・おっしゃ.る,face-up; look up; depend; seek; respect; rever; drink; take
剛,ゴウ,sturdy; strength
疾,シツ・はや.い,rapidly
征,セイ,subjugate; attack the rebellious; collect taxes
砕,サイ・くだ.く・くだ.ける,smash; break; crush; familiar; popular
謡,ヨウ・うた.い・うた.う,song; sing; ballad; noh chanting
嫁,カ・よめ・とつ.ぐ・い.く・ゆ.く,marry into; bride
謙,ケン・へりくだ.る,self-effacing; humble oneself; condescend; be modest
嘆,タン・なげ.く・なげ.かわしい,sigh; lament; moan; grieve; sigh of admiration
菌,キン,germ; fungus; bacteria
鎌,レン・ケン・かま,sickle; scythe; trick
頻,ヒン・しき.りに,repeatedly; recur
琴,キン・こと,harp; koto
棚,ホウ・たな・~だな,shelf; ledge; rack; mount; mantle; trellis
酷,コク・ひど.い,cruel; severe; atrocious; unjust
宰,サイ,superintend; manager; rule
廊,ロウ,corridor; hall; tower
寂,ジャク・セキ・さび・さび.しい・さび.れる・さみ.しい,loneliness; quietly; mellow; mature; death of a priest
伏,フク・ふ.せる・ふ.す,prostrated; bend down; bow; cover; lay (pipes)
碁,ゴ,Go
俗,ゾク,vulgar; customs; manners; worldliness; mundane things
漠,バク,vague; obscure; desert; wide
邪,ジャ・よこし.ま,wicked; injustice; wrong
晶,ショウ,sparkle; clear; crystal
墨,ボク・すみ,black ink; India ink; ink stick; Mexico
鎮,チン・しず.める・しず.まる・おさえ,tranquilize; ancient peace-preservation centers
洞,ドウ・ほら,den; cave; excavation
履,リ・は.く,perform; complete; footgear; shoes; boots; put on (the feet)
劣,レツ・おと.る,inferiority; be inferior to; be worse
那,ナ・ダ・なに・なんぞ・いかん,what?
殴,オウ・なぐ.る,assault; hit; beat; thrash
娠,シン,with child; pregnancy
奉,ホウ・ブ・たてまつ.る・まつ.る・ほう.ずる,observance; offer; present; dedicate
憂,ユウ・うれ.える・うれ.い・う.い・う.き,melancholy; grieve; lament; be anxious; sad; unhappy
朴,ボク・ほう・ほお・えのき,crude; simple; plain; docile
亭,テイ・チン,pavilion; restaurant; mansion; arbor; cottage; vaudeville; music hall; stage name
怪,カイ・ケ・あや.しい・あや.しむ,suspicious; mystery; apparition
酔,スイ・よ.う・よ.い・よ,drunk; feel sick; poisoned; elated; spellbound
惜,セキ・お.しい・お.しむ,pity; be sparing of; frugal; stingy; regret
穫,カク,harvest; reap
佳,カ,excellent; beautiful; good; pleasing; skilled
潤,ジュン・うるお.う・うるお.す・うる.む,wet; be watered; profit by; receive benefits; favor; charm; steep
悼,トウ・いた.む,lament; grieve over
乏,ボウ・とぼ.しい・とも.しい,destitution; scarce; limited
該,ガイ,above-stated; the said; that specific
赴,フ・おもむ.く,proceed; get; become; tend
桑,ソウ・くわ,mulberry
髄,ズイ,marrow; pith; essence
虎,コ・とら,tiger; drunkard
盆,ボン,basin; lantern festival; tray
穂,スイ・ほ,ear; ear (grain); head; crest (wave)
壮,ソウ・さかん,robust; manhood; prosperity
堤,テイ・つつみ,dike; bank; embankment
飢,キ・う.える,hungry; starve
傍,ボウ・かたわ.ら・わき・おか~・はた・そば,bystander; side; besides; while; nearby; third person
疫,エキ・ヤク,epidemic
累,ルイ,accumulate; involvement; trouble; tie up; continually
痴,チ・し.れる・おろか,stupid; foolish
搬,ハン,conveyor; carry; transport
癒,ユ・い.える・いや.す・い.やす,healing; cure; quench (thirst); wreak
郭,カク・くるわ,enclosure; quarters; fortification; red-light district
尿,ニョウ・ゆばり・いばり・しと,urine
凶,キョウ,villain; evil; bad luck; disaster
吐,ト・は.く・つ.く,spit; vomit; belch; confess; tell (lies)
宴,エン・うたげ,banquet; feast; party
賓,ヒン,V.I.P.; guest
虜,リョ・ロ・とりこ・とりく,captive; barbarian; low epithet for the enemy
陶,トウ・すえ,pottery; porcelain
鐘,ショウ・かね,bell; gong; chimes
憾,カン・うら.む,remorse; regret; be sorry
弥,ミ・ビ・いや・や・あまねし・いよいよ・とおい・ひさし・ひさ.しい・わた.る,all the more; increasingly
昆,コン,descendants; elder brother; insect
粗,ソ・あら.い・あら~,coarse; rough; rugged
訂,テイ・ただ.す,revise; correct; decide
傘,サン・かさ,umbrella
騎,キ,equestrian; riding on horses; counter for equestrians
寧,ネイ・むし.ろ,rather; preferably; peaceful; quiet; tranquility
循,ジュン,sequential; follow
忍,ニン・しの.ぶ・しの.ばせる,endure; bear; put up with; conceal; secrete; spy; sneak
怠,タイ・おこた.る・なま.ける,neglect; laziness
如,ジョ・ニョ・ごと.し,likeness; like; such as; as if; better; best; equal
寮,リョウ,dormitory; hostel; villa; tea pavillion
鉛,エン・なまり,lead
珠,シュ・たま,pearl; gem; jewel
凝,ギョウ・こ.る・こ.らす・こご.らす・こご.らせる・こご.る,congeal; freeze; stiff; be absorbed in
苗,ビョウ・ミョウ・なえ・なわ~,seedling; sapling; shoot
獣,ジュウ・けもの・けだもの,animal; beast
哀,アイ・あわ.れ・あわ.れむ・かな.しい,pathetic; grief; sorrow; pathos; pity; sympathize
跳,チョウ・は.ねる・と.ぶ・~と.び,hop; leap up; spring; jerk; prance; buck; splash; sputter; snap
匠,ショウ・たくみ,artisan; workman; carpenter
蛇,ジャ・ダ・イ・ヤ・へび,snake; serpent; hard drinker
澄,チョウ・す.む・す.ます・~す.ます,lucidity; be clear; clear; clarify; settle; strain; look grave
縫,ホウ・ぬ.う,sew; stitch; embroider
僧,ソウ,Buddhist priest; monk
眺,チョウ・なが.める,stare; watch; look at; see; scrutinize
呉,ゴ・く.れる・くれ,give; do something for; kingdom of Wu
凡,ボン・ハン・およ.そ・おうよ.そ・すべ.て,commonplace; ordinary; mediocre
憩,ケイ・いこ.い・いこ.う,recess; rest; relax; repose
媛,エン・ひめ,beautiful woman; princess
溝,コウ・みぞ,gutter; ditch; sewer; drain; 10**32
恭,キョウ・うやうや.しい,respect; reverent
刈,ガイ・カイ・か.る,reap; cut; clip; trim; prune
睡,スイ・ねむ.る・ねむ.い,drowsy; sleep; die
錯,サク・シャク,confused; mix; be in disorder
伯,ハク,chief; count; earl; uncle; Brazil
陵,リョウ・みささぎ,mausoleum; imperial tomb; mound; hill
霧,ム・ボウ・ブ・きり,fog; mist
魂,コン・たましい・たま,soul; spirit
弊,ヘイ,abuse; evil; vice; breakage
妃,ヒ・きさき,queen; princess
舶,ハク,liner; ship
餓,ガ・う.える,starve; hungry; thirst
窮,キュウ・キョウ・きわ.める・きわ.まる・きわ.まり・きわ.み,hard up; destitute; suffer; perplexed; cornered
掌,ショウ・てのひら・たなごころ,manipulate; rule; administer; conduct; palm of hand
麗,レイ・うるわ.しい・うら.らか,lovely; beautiful; graceful; resplendent
臭,シュウ・くさ.い・~くさ.い・にお.う・にお.い,stinking; ill-smelling; suspicious looking; odor; savor; fragrance; be fragrant; stink; glow; be bright
悦,エツ・よろこ.ぶ・よろこ.ばす,ecstasy; joy; rapture
刃,ジン・ニン・は・やいば・き.る,blade; sword; edge
縛,バク・しば.る,truss; arrest; bind; tie; restrain
暦,レキ・こよみ・りゃく,calendar; almanac
宜,ギ・よろ.しい・よろ.しく,best regards; good
盲,モウ・めくら,blind; blind man; ignoramus
粋,スイ・いき,chic; style; purity; essence; pith; cream; elite; choice
辱,ジョク・はずかし.める,embarrass; humiliate; shame
轄,カツ・くさび,control; wedge
猿,エン・さる,monkey
弦,ゲン・つる,bowstring; chord; hypotenuse
窒,チツ,plug up; obstruct
炊,スイ・た.く・~だ.き,cook; boil
洪,コウ,deluge; flood; vast
摂,セツ・ショウ・おさ.める・かね.る・と.る,vicarious; surrogate; act in addition to; take in; absorb
飽,ホウ・あ.きる・あ.かす・あ.く,sated; tired of; bored; satiate
冗,ジョウ,superfluous; uselessness
桃,トウ・もも,peach
狩,シュ・か.る・か.り・~が.り,hunt; raid; gather
朱,シュ・あけ,vermilion; cinnabar; scarlet; red; bloody
渦,カ・うず,whirlpool; eddy; vortex
紳,シン,sire; good belt; gentleman
枢,スウ・シュ・とぼそ・からくり,hinge; pivot; door
碑,ヒ・いしぶみ,tombstone; monument
鍛,タン・きた.える,forge; discipline; train
鼓,コ・つづみ,drum; beat; rouse; muster
裸,ラ・はだか,naked; nude; uncovered; partially clothed
猶,ユウ・ユ・なお,furthermore; still; yet
塊,カイ・ケ・かたまり・つちくれ,clod; lump; chunk; clot; mass
旋,セン,rotation; go around
幣,ヘイ・ぬさ,cash; bad habit; humble prefix; gift; Shinto offerings of cloth; rope; cut paper
膜,マク,membrane
扇,セン・おうぎ,fan; folding fan
槽,ソウ・ふね,vat; tub; tank
慈,ジ・いつく.しむ,mercy
伐,バツ・ハツ・カ・ボチ・き.る・そむ.く・う.つ,fell; strike; attack; punish
漬,シ・つ.ける・つ.かる・~づ.け・~づけ,pickling; soak; moisten; steep
糾,キュウ・ただ.す,twist; ask; investigate; verify
墳,フン,tomb; mound
坪,ヘイ・つぼ,two-mat area; approx. thirty-six sq ft
紺,コン,dark blue; navy
娯,ゴ,recreation; pleasure
羅,ラ・うすもの,gauze; thin silk; Rome; arrange; spread out
峡,キョウ・コウ・はざま,gorge; ravine
俸,ホウ,stipend; salary
厘,リン,rin; 1/10 sen; 1/10 bu
峰,ホウ・みね・ね,summit; peak
醸,ジョウ・かも.す,brew; cause
弔,チョウ・とむら.う・とぶら.う,condolences; mourning; funeral
乙,オツ・イツ・おと~・きのと,the latter; duplicate; strange; witty; fishhook radical (no. 5)
汁,ジュウ・しる・~しる・つゆ,soup; juice; broth; sap; gravy; pus
尼,ニ・あま,nun
遍,ヘン・あまね.く,everywhere; times; widely; generally
衡,コウ,equilibrium; measuring rod; scale
薫,クン・かお.る,send forth fragrance; fragrant; be scented; smoke (tobacco)
猟,リョウ・かり・か.る,game-hunting; shooting; game; bag
款,カン,goodwill; article; section; friendship; collusion
閲,エツ・けみ.する,review; inspection; revision
偵,テイ,spy
喝,カツ,hoarse; scold
敢,カン・あ.えて・あ.えない・あ.えず,daring; brave; bold; sad; tragic; pitiful
胎,タイ,womb; uterus
酵,コウ,fermentation
憤,フン・いきどお.る,aroused; resent; be indignant; anger
豚,トン・ぶた,pork; pig
遮,シャ・さえぎ.る,intercept; interrupt; obstruct
扉,ヒ・とびら,front door; title page; front page
硫,リュウ,sulphur
赦,シャ,pardon; forgiveness
窃,セツ・ぬす.む・ひそ.か,stealth; steal; secret; private; hushed
泡,ホウ・あわ,bubbles; foam; suds; froth
又,ユウ・また・また~・また.の~,or again; furthermore; on the other hand
慨,ガイ,rue; be sad; sigh; lament
紡,ボウ・つむ.ぐ,spinning
恨,コン・うら.む・うら.めしい,regret; bear a grudge; resentment; malice; hatred
肪,ボウ,obese; fat
扶,フ・たす.ける,aid; help; assist
戯,ギ・ゲ・たわむ.れる・ざ.れる・じゃ.れる,frolic; play; sport
忌,キ・い.む・い.み・い.まわしい,mourning; abhor; detestable; death anniversary
濁,ダク・ジョク・にご.る・にご.す,voiced; uncleanness; wrong; nigori; impurity
奔,ホン・はし.る,run; bustle
斗,ト・トウ,Big Dipper; ten sho (vol); sake dipper; dots and cross radical (no. 68)
迅,ジン,swift; fast
肖,ショウ・あやか.る,resemblance
鉢,ハチ・ハツ,bowl; rice tub; pot; crown
朽,キュウ・く.ちる,decay; rot; remain in seclusion
殻,カク・コク・バイ・から・がら,husk; nut shell
享,キョウ・コウ・う.ける,enjoy; receive; undergo; answer (phone); take; get; catch
藩,ハン,clan; enclosure
沙,サ・シャ・すな・よなげる,sand
媒,バイ・なこうど,mediator; go-between
鶏,ケイ・にわとり・とり,chicken
禅,ゼン・セン・しずか・ゆず.る,Zen; silent meditation
嘱,ショク・しょく.する・たの.む,entrust; request; send a message
胴,ドウ,trunk; torso; hull (ship); hub of wheel
迭,テツ,transfer; alternation
挿,ソウ・さ.す・はさ.む,insert; put in; graft; wear (sword)
嵐,ラン・あらし,storm; tempest
椎,ツイ・スイ・つち・う.つ,chinquapin; mallet; spine
陪,バイ,obeisance; follow; accompany; attend on
剖,ボウ,divide
譜,フ,musical score; music; note; staff; table; genealogy
悠,ユウ,permanence; distant; long time; leisure
淑,シュク・しと.やか,graceful; gentle; pure
帆,ハン・ほ,sail
暁,ギョウ・キョウ・あかつき・さと.る,daybreak; dawn; in the event
傑,ケツ・すぐ.れる,greatness; excellence
奴,ド・やつ・やっこ,guy; slave; manservant; fellow
錠,ジョウ,lock; fetters; shackles
拳,ケン・ゲン・こぶし,fist
遷,セン・うつ.る・うつ.す・みやこがえ,transition; move; change
拙,セツ・つたな.い,bungling; clumsy; unskillful
侍,ジ・シ・さむらい・はべ.る,waiter; samurai; wait upon; serve
峠,とうげ,mountain peak; mountain pass; climax; crest; (kokuji)
篤,トク・あつ.い,fervent; kind; cordial; serious; deliberate
渇,カツ・かわ.く,thirst; dry up; parch
叔,シュク,uncle; youth
雌,シ・め~・めす・めん,feminine; female
堪,カン・タン・た.える・たま.る・こら.える・こた.える,withstand; endure; support; resist
叙,ジョ・つい.ず・ついで,confer; relate; narrate; describe
酢,サク・す,vinegar; sour; acid; tart
吟,ギン,versify; singing; recital
逓,テイ・かわ.る・たがいに,relay; in turn; sending
甚,ジン・はなは.だ・はなは.だしい,tremendously; very; great; exceedingly
崇,スウ・あが.める,adore; respect; revere; worship
漆,シツ・うるし,lacquer; varnish; seven
岬,コウ・みさき,headland; cape; spit; promontory
癖,ヘキ・くせ・くせ.に,mannerism; habit; vice; trait; fault; kink
愉,ユ・たの.しい・たの.しむ,pleasure; happy; rejoice
礁,ショウ,reef; sunken rock
裁,サイ・た.つ・さば.く,tailor; judge; decision; cut out (pattern)
展,テン,unfold; expand
視,シ・み.る,inspection; regard as; see; look at
株,シュ・かぶ,stocks; stump; shares; stock; counter for small plants
姿,シ・すがた,figure; form; shape
閣,カク,tower; tall building; palace
衆,シュウ・シュ・おお.い,masses; great numbers; multitude; populace
推,スイ・お.す,conjecture; infer; guess; suppose; support; push (for)
討,トウ・う.つ,chastise; attack; defeat; destroy; conquer
憲,ケン,constitution; law
激,ゲキ・はげ.しい,violent; get excited; enraged; chafe; incite
系,ケイ,lineage; system
批,ヒ,criticism; strike
盟,メイ,alliance; oath
従,ジュウ・ショウ・ジュ・したが.う・したが.える・より,accompany; obey; submit to; comply; follow; secondary; incidental; subordinate
拡,カク・コウ・ひろ.がる・ひろ.げる・ひろ.める,broaden; extend; expand; enlarge
就,シュウ・ジュ・つ.く・つ.ける,concerning; settle; take position; depart; study; per
異,イ・こと・こと.なる・け,uncommon; different; queerness; strangeness; wonderful; curious; unusual
厳,ゲン・ゴン・おごそ.か・きび.しい・いか.めしい・いつくし,stern; strictness; severity; rigidity
遺,イ・ユイ・のこ.す,bequeath; leave behind; reserve
模,モ・ボ,imitation; copy; mock
宣,セン・のたま.う,proclaim; say; announce
盛,セイ・ジョウ・も.る・さか.る・さか.ん,boom; prosper; copulate
皇,コウ・オウ,emperor
臨,リン・のぞ.む,look to; face; meet; confront; attend; call on
源,ゲン・みなもと,source; origin
創,ソウ・ショウ・つく.る・はじ.める・きず・けず.しける,genesis; wound; injury; hurt; start; originate
障,ショウ・さわ.る,hinder; hurt; harm
筋,キン・すじ,muscle; sinew; tendon; fiber; plot; plan; descent
善,ゼン・よ.い・い.い・よ.く・よし.とする,virtuous; good; goodness
密,ミツ・ひそ.か,secrecy; density (pop); minuteness; carefulness
我,ガ・われ・わ・わ.が~・わが~,ego; I; selfish; our; oneself
幕,マク・バク・とばり,curtain; bunting; act of play
染,セン・そ.める・~ぞ.め・~ぞめ・そ.まる・し.みる・~じ.みる・し.み・~し.める,dye; color; paint; stain; print
傷,ショウ・きず・いた.む・いた.める,wound; hurt; injure; impair; pain; injury; cut; gash; scar; weak point
秘,ヒ・ひ.める・ひそ.か・かく.す,secret; conceal
縮,シュク・ちぢ.む・ちぢ.まる・ちぢ.める・ちぢ.れる・ちぢ.らす,shrink; contract; shrivel; wrinkle; reduce
射,シャ・い.る・さ.す・う.つ,shoot; shine into; onto; archery
揮,キ・ふる.う,brandish; wave; wag; swing; shake
賃,チン,fare; fee; hire; rent; wages; charge
貴,キ・たっと.い・とうと.い・たっと.ぶ・とうと.ぶ,precious; value; prize; esteem; honor
納,ノウ・ナッ・ナ・ナン・トウ・おさ.める・~おさ.める・おさ.まる,settlement; obtain; reap; pay; supply; store
樹,ジュ・き,timber; trees; wood; establish; set up
至,シ・いた.る,climax; arrive; proceed; reach; attain; result in
宗,シュウ・ソウ・むね,religion; sect; denomination; main point; origin; essence
宙,チュウ,mid-air; air; space; sky; memorization; interval of time
操,ソウ・サン・みさお・あやつ.る,maneuver; manipulate; operate; steer; chastity; virginity; fidelity
誕,タン,nativity; be born; declension; lie; be arbitrary
訳,ヤク・わけ,translate; reason; circumstance; case
看,カン・み.る,watch over; see
奏,ソウ・かな.でる,play music; speak to a ruler; complete
郷,キョウ・ゴウ・さと,home town; village; native place; district
己,コ・キ・おのれ・つちのと・な,self
忠,チュウ,loyalty; fidelity; faithfulness
沿,エン・そ.う・~ぞ.い,run alongside; follow along; run along; lie along
誠,セイ・まこと,sincerity; admonish; warn; prohibit; truth; fidelity
俳,ハイ,haiku; actor
聖,セイ・ショウ・ひじり,holy; saint; sage; master; priest
潮,チョウ・しお・うしお,tide; salt water; opportunity
鋼,コウ・はがね,steel
縦,ジュウ・たて,vertical; length; height; self-indulgent; wayward
仁,ジン・ニ・ニン,humanity; virtue; benevolence; charity; man; kernel
穴,ケツ・あな,hole; aperture; slit; cave; den
暖,ダン・ノン・あたた.か・あたた.かい・あたた.まる・あたた.める,warmth
朗,ロウ・ほが.らか・あき.らか,melodious; clear; bright; serene; cheerful
肺,ハイ,lungs
熟,ジュク・う.れる,mellow; ripen; mature; acquire skill
陛,ヘイ,highness; steps (of throne)
糖,トウ,sugar
覧,ラン・み.る,perusal; see
奮,フン・ふる.う,stirred up; be invigorated; flourish
后,コウ・ゴ・きさき,empress; queen; after; behind; back; later
班,ハン,squad; corps; unit; group
寸,スン,measurement; tenth of a shaku; a little; small
磁,ジ,magnet; porcelain
垂,スイ・た.れる・た.らす・た.れ・~た.れ・なんなんと.す,droop; suspend; hang; slouch
穀,コク,cereals; grain
絹,ケン・きぬ,silk
尺,シャク,shaku; Japanese foot; measure; scale; rule
蚕,サン・テン・かいこ・こ,silkworm
企,キ・くわだ.てる・たくら.む,undertake; scheme; design; attempt; plan
藤,トウ・ドウ・ふじ,wisteria
沢,タク・さわ・うるお.い・うるお.す・つや,swamp; marsh; brilliance; grace
援,エン,abet; help; save
施,シ・セ・ほどこ.す,give; bestow; perform; alms
井,セイ・ショウ・い,well; well crib; town; community
鮮,セン・あざ.やか,fresh; vivid; clear; brilliant; Korea
監,カン,oversee; official; govt office; rule; administer
環,カン・わ,ring; circle; link; wheel
審,シン・つまび.らか・つぶさ.に,hearing; judge; trial
訴,ソ・うった.える,accusation; sue; complain of pain; appeal to
影,エイ・かげ,shadow; silhouette; phantom
撃,ゲキ・う.つ,beat; attack; defeat; conquer
佐,サ,assistant; help
核,カク,nucleus; core; kernel
融,ユウ・と.ける・と.かす,dissolve; melt
渉,ショウ・わた.る,ford; go cross; transit; ferry; import; involve
響,キョウ・ひび.く,echo; sound; resound; ring; vibrate
請,セイ・シン・ショウ・こ.う・う.ける,solicit; invite; ask
攻,コウ・せ.める,aggression; attack; criticize; polish
崎,キ・さき・さい・みさき,promontory; cape; spit
督,トク,coach; command; urge; lead; supervise
催,サイ・もよう.す・もよお.す,sponsor; hold (a meeting); give (a dinner)
及,キュウ・およ.ぶ・およ.び・および・およ.ぼす,reach out; exert; exercise; cause
離,リ・はな.れる・はな.す,detach; separation; disjoin; digress
摘,テキ・つ.む,pinch; pick; pluck; trim; clip; summarize
郎,ロウ・リョウ・おとこ,son; counter for sons
振,シン・ふ.る・ぶ.る・ふ.り・~ぶ.り・ふ.るう,shake; wave; wag; swing
献,ケン・コン・たてまつ.る,offering; counter for drinks; present; offer
維,イ,fiber; tie; rope
浜,ヒン・はま,seacoast; beach; seashore
塁,ルイ・ライ・スイ・とりで,bases; fort; rampart; walls; base(ball)
邦,ホウ・くに,home country; country; Japan
遣,ケン・つか.う・~つか.い・~づか.い・つか.わす・や.る,dispatch; despatch; send; give; donate; do; undertake
抗,コウ・あらが.う,confront; resist; defy; oppose
雄,ユウ・お~・おす・おん,masculine; male; hero; leader; superiority; excellence
緊,キン・し.める・し.まる,tense; solid; hard; reliable; tight
廃,ハイ・すた.れる・すた.る,abolish; obsolete; cessation; discarding; abandon
江,コウ・え,creek; inlet; bay
僚,リョウ,colleague; official; companion
吉,キチ・キツ・よし,good luck; joy; congratulations
踏,トウ・ふ.む・ふ.まえる,step; trample; carry through; appraise; evade payment
壊,カイ・エ・こわ.す・こわ.れる・やぶ.る,demolition; break; destroy
債,サイ,bond; loan; debt
儀,ギ,ceremony; rule; affair; case; a matter
継,ケイ・つ.ぐ・まま~,inherit; succeed; continue; patch; graft (tree)
闘,トウ・たたか.う・あらそ.う,fight; war
葬,ソウ・ほうむ.る,interment; bury; shelve
避,ヒ・さ.ける・よ.ける,evade; avoid; avert; ward off; shirk; shun
逮,タイ,apprehend; chase
迫,ハク・せま.る,urge; force; imminent; spur on
惑,ワク・まど.う,beguile; delusion; perplexity
崩,ホウ・くず.れる・~くず.れ・くず.す,crumble; die; demolish; level
聴,チョウ・テイ・き.く・ゆる.す,listen; headstrong; naughty; careful inquiry
脱,ダツ・ぬ.ぐ・ぬ.げる,undress; removing; escape from; get rid of; be left out; take off
締,テイ・し.まる・し.まり・し.める・~し.め・~じ.め,tighten; tie; shut; lock; fasten
執,シツ・シュウ・と.る,tenacious; take hold; grasp; take to heart
房,ボウ・ふさ,tassel; tuft; fringe; bunch; lock (hair); segment (orange); house; room
撤,テツ,remove; withdraw; disarm; dismantle; reject; exclude
削,サク・けず.る・はつ.る・そ.ぐ,plane; sharpen; whittle; pare; shave
措,ソ・お.く,set aside; give up; suspend; discontinue; lay aside; except
載,サイ・の.せる・の.る,ride; board; get on; place; spread; 10**44; record; publish
陣,ジン,camp; battle array; ranks; position; sudden; brief time
為,イ・ため・な.る・な.す・す.る・たり・つく.る・なり,do; change; make; benefit; welfare; be of use; reach to; try; practice; cost; serve as; good; advantage; as a result of
抑,ヨク・おさ.える,repress; well; now; in the first place; push; shove; press; seal; do in spite of
奈,ナ・ナイ・ダイ・いかん・からなし,Nara; what?
択,タク・えら.ぶ,choose; select; elect; prefer
秀,シュウ・ひい.でる,excel; excellence; beauty; surpass
徴,チョウ・チ・しるし,indications; sign; omen; symptom; collect; seek; refer to; question
弾,ダン・タン・ひ.く・~ひ.き・はず.む・たま・はじ.く・はじ.ける・ただ.す・はじ.きゆみ,bullet; twang; flip; snap
償,ショウ・つぐな.う,reparation; make up for; recompense; redeem
拠,キョ・コ・よ.る,foothold; based on; follow; therefore
拒,キョ・ゴ・こば.む,repel; refuse; reject; decline
刑,ケイ,punish; penalty; sentence; punishment
塚,チョウ・つか・~づか,hillock; mound
致,チ・いた.す,doth; do; send; forward; cause; exert; incur; engage
繰,ソウ・く.る,winding; reel; spin; turn (pages); look up; refer to
尾,ビ・お,tail; end; counter for fish; lower slope of mountain
描,ビョウ・えが.く・か.く,sketch; compose; write; draw; paint
鈴,レイ・リン・すず,small bell; buzzer
盤,バン,tray; shallow bowl; platter; tub; board; phonograph record
