爾,ジ・ニ・なんじ・しかり・その・のみ・おれ・しか,you; thou; second person
弐,ニ・ジ・ふた.つ・そえ,II; two; second
賦,フ・ブ,levy; ode; prose; poem; tribute; installment
丙,ヘイ・ひのえ,third class; 3rd; 3rd calendar sign
耗,モウ・コウ,decrease
冶,ヤ・い.る,melting; smelting
濫,ラン・みだ.りに・みだ.りがましい,excessive; overflow; spread out
吏,リ,officer; an official
璃,リ,glassy; lapis lazuli
瞭,リョウ・あきらか,clear
伊,イ・かれ,Italy; that one
智,チ,wisdom; intellect; reason
弘,コウ・グ・ひろ.い,vast; broad; wide
彦,ゲン・ひこ,lad; boy (ancient)
阿,ア・オ・おもね.る・くま,Africa; flatter; fawn upon; corner; nook; recess
李,リ・すもも,plum
浩,コウ・おおき.い・ひろ.い,wide expanse; abundance; vigorous
宏,コウ・ひろ.い,wide; large
之,シ・の・これ・ゆく・この,of; this
昌,ショウ・さかん,prosperous; bright; clear
靖,セイ・ジョウ・やす.んじる,peaceful
也,ヤ・エ・なり・か・また,to be (classical)
旭,キョク・あさひ,rising sun; morning sun
磯,キ・いそ,seashore; beach
聡,ソウ・さと.い・みみざと.い,wise; fast learner
曙,ショ・あけぼの,dawn; daybreak
萩,シュウ・はぎ,bush clover
栗,リツ・リ・くり・おののく,chestnut
嘉,カ・よみ.する・よい,applaud; praise; esteem; happy; auspicious
辰,シン・ジン・たつ,sign of the dragon; 7-9AM; fifth sign of Chinese zodiac; shin dragon radical (no. 161)
霞,カ・ゲ・かすみ・かす.む,be hazy; grow dim; blurred
淳,ジュン・シュン・あつ.い,pure
鳩,キュウ・ク・はと・あつ.める,pigeon; dove
桂,ケイ・かつら,Japanese Judas-tree; cinnamon tree
晋,シン・すす.む,advance
晃,コウ・あきらか,clear
桐,トウ・ドウ・きり,paulownia
鷹,ヨウ・オウ・たか,hawk
猪,チョ・い・いのしし,boar
紘,コウ・おおづな・つな・つなぐ,large
庄,ショウ・ソ・ソウ・ホウ,level; in the country; manor; village; hamlet
敦,トン・タイ・ダン・チョウ・あつ.い,industry; kindliness
祐,ユウ・ウ・たす.ける,help
鵬,ホウ・おおとり,phoenix
亘,コウ・カン・セン・わた.る・もと.める,span; range; extend over
笹,ささ,bamboo grass; (kokuji)
綾,リン・あや,design; figured cloth; twill
毅,キ・ギ・つよ.い,strong
稔,ネン・ジン・ニン・みの.る・みのり,harvest; ripen
楊,ヨウ・やなぎ,willow
駿,シュン・スン・すぐ.れる,a good horse; speed; a fast person
亮,リョウ・あきらか,clear; help
椿,チン・チュン・つばき,camellia
圭,ケイ・ケ,square jewel; corner; angle; edge
蓮,レン・はす・はちす,lotus
瑞,ズイ・スイ・みず~・しるし,congratulations
伍,ゴ・いつつ,five; five-man squad; file; line
蘭,ラン・ラ,orchid; Holland
秦,シン・はた,Manchu dynasty; name given to naturalized foreigners
茅,ボウ・ミョウ・かや・ちがや,miscanthus reed
輔,ホ・フ・たす.ける,help
郁,イク,cultural progress; perfume
楠,ナン・ダン・ゼン・ネン・くす・くすのき,camphor tree
玲,レイ,sound of jewels
翔,ショウ・かけ.る・と.ぶ,soar; fly
肇,チョウ・ジョウ・トウ・はじ.める・はじめ,beginning
亨,コウ・キョウ・ホウ・とお.る,pass through; go smoothly
嶺,レイ・リョウ・みね,peak; summit
喬,キョウ・たか.い,high; boasting
寅,イン・とら,sign of the tiger; 3-5AM; third sign of Chinese zodiac
乃,ナイ・ダイ・ノ・アイ・の・すなわ.ち・なんじ,from; possessive particle; whereupon; accordingly
洲,シュウ・ス・しま,continent; sandbar; island; country
樺,カ・かば・かんば,birch; dark red
槙,テン・シン・まき・こずえ,twig; ornamental evergreen
巌,ガン・いわ・いわお・けわ.しい,rock; crag; boulder
胡,ウ・コ・ゴ・なんぞ,barbarian; foreign
峻,シュン・けわ.しい・たか.い,high; steep
槻,キ・つき,Zelkova tree
蝶,チョウ,butterfly
琢,タク・みが.く,polish
蕉,ショウ,banana; plantain
琉,リュウ・ル,precious stone; gem; lapis lazuli
朋,ホウ・とも,companion; friend
遼,リョウ,distant
橘,キツ・たちばな,mandarin orange
漱,ソウ・シュウ・ス・くちすす.ぐ・くちそそ.ぐ・うがい・すす.ぐ,gargle; rinse mouth
苑,エン・オン・その・う.つ,garden; farm; park
巽,ソン・たつみ,southeast
杜,ト・トウ・ズ・もり・ふさ.ぐ・やまなし,woods; grove
欣,キン・ゴン・コン・よろこ.ぶ・よろこ.び,take pleasure in; rejoice
巴,ハ・ともえ・うずまき,comma-design
禎,テイ・さいわ.い,happiness; blessed; good fortune; auspicious
稜,リョウ・ロウ・いつ・かど,angle; edge; corner; power; majesty
倭,ワ・イ・やまと・したが.う,Yamato; ancient Japan
斐,ヒ・イ,beautiful; patterned
魁,カイ・さきがけ・かしら,charging ahead of others
鴻,コウ・ゴウ・おおとり・ひしくい・おおがり,large bird; wild goose; large; great; powerful; prosperous
於,オ・ヨ・おい.て・お.ける・ああ・より,at; in; on; as for
赳,キュウ,strong and brave
葵,キ・あおい,hollyhock
禄,ロク・さいわ.い・ふち,fief; allowance; pension; grant; happiness
孟,モウ・ボウ・ミョウ・かしら,chief; beginning
尭,ギョウ・たか.い,high; far
巳,シ・み,sign of the snake or serpent; 9-11AM; sixth sign of Chinese zodiac
暢,チョウ・のび.る,stretch
芹,キン・せり,parsley
杏,キョウ・アン・コウ・あんず,apricot
鳳,ホウ・フウ,male mythical bird
馨,ケイ・キョウ・かお.る・かおり,fragrant; balmy; favourable
慧,ケイ・エ・さとい,wise
彬,ヒン・フン・うるわ.しい・あき.らか,refined; gentle
匡,キョウ・オウ・すく.う,correct; save; assist
欽,キン・コン・つつし.む,respect; revere; long for
嵯,サ・シ,steep; craggy; rugged
綜,ソウ・おさ.める・す.べる,rule; synthesize
翠,スイ・かわせみ・みどり,green; kingfisher
鮎,デン・ネン・あゆ・なまず,freshwater trout; smelt
榛,シン・ハン・はしばみ・はり,hazelnut; filbert
惣,ソウ・すべ.て,all
蔦,チョウ・つた,vine; ivy
隼,シュン・ジュン・はやぶさ,falcon
渚,ショ・なぎさ,strand; beach; shore
稀,キ・ケ・まれ・まばら,rare; phenomenal; dilute (acid)
芙,フ,lotus; Mt Fuji
皐,コウ・さつき,swamp; shore
雛,スウ・ス・ジュ・ひな・ひよこ,chick; squab; duckling; doll
惟,イ・ユイ・おも.んみる・これ・おも.うに,consider; reflect; think
